Model,Metric,Bootstrap_Mean,Bootstrap_SD,Bootstrap_Median,CI_2_5,CI_97_5,Point_Estimate,Bootstrap_Bias
MLP,Weighted_F1,0.9232131646880974,0.01602938710598337,0.924141295221835,0.8913023816938763,0.9533046590274814,0.924141295221835,-0.0009281305337375256
Random_Forest,Accuracy,0.9026899563318778,0.018839116237330464,0.9039301310043668,0.8646288209606987,0.9388646288209607,0.9039301310043668,-0.0012401746724890472
Random_Forest,Class0_Sensitivity,0.86505,0.029934265096934667,0.8666666666666667,0.8083333333333333,0.925,0.8666666666666667,-0.0016166666666667107
Random_Forest,Class0_Specificity,0.9441284403669725,0.021290107756085756,0.944954128440367,0.8990825688073395,0.981651376146789,0.944954128440367,-0.0008256880733944483
Random_Forest,Class1_AUC,0.9529466116529133,0.016056304302267,0.9545511377844461,0.9183545886471618,0.9801231557889472,0.9538634658664665,-0.0009168542135532531
Random_Forest,Class1_F1,0.7684817190291866,0.0419829831275538,0.7692307692307693,0.6862745098039216,0.84446735395189,0.7708333333333334,-0.002351614304146765
Random_Forest,Class1_NPV,0.9655261409082986,0.012751941834795095,0.9659090909090909,0.9378531073446328,0.9884409673775829,0.9659090909090909,-0.0003829500007923592
Random_Forest,Class1_PPV,0.697617892845479,0.04953281222754309,0.6938775510204082,0.611087570621469,0.8,0.6981132075471698,-0.00049531470169073
Random_Forest,Class1_Sensitivity,0.8583720930232558,0.053967947567752216,0.8604651162790697,0.7441860465116279,0.9534883720930233,0.8604651162790697,-0.0020930232558139528
Random_Forest,Class1_Specificity,0.9129354838709677,0.019312429094796565,0.9139784946236559,0.8763440860215054,0.9516129032258065,0.9139784946236559,-0.0010430107526882004
Random_Forest,Class2_Sensitivity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Random_Forest,Class2_Specificity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Random_Forest,Kappa,0.8436408678961193,0.029690694481156493,0.8440151092946931,0.7847948735151447,0.9002613240418118,0.8454885603876587,-0.0018476924915394877
Random_Forest,Macro_AUC,0.9755860519984736,0.008386204109738534,0.9764602370011464,0.957877508845866,0.989832778339845,0.9760584641573237,-0.00047241215885007737
Random_Forest,Macro_F1,0.8904582470604974,0.020293986044767735,0.890376620200538,0.8485693050910442,0.9283741368487132,0.8917270531400966,-0.0012688060795992273
Random_Forest,Macro_Sensitivity,0.9078073643410853,0.020739856074043,0.9090439276485789,0.8641327519379844,0.9456072351421189,0.9090439276485789,-0.0012365633074935545
Random_Forest,Macro_Specificity,0.9523546414126467,0.0096735046998839,0.9524514156061952,0.9325244155075466,0.9700679852684884,0.9529775410213409,-0.0006228996086942162
Random_Forest,Weighted_F1,0.9056413824302694,0.01791874844456445,0.9058311791366661,0.8701555585218218,0.9397050962590153,0.9068452946016076,-0.001203912171338195
SVM,Accuracy,0.8983449781659388,0.019386319084077737,0.8995633187772926,0.8602620087336245,0.9344978165938864,0.8995633187772926,-0.0012183406113537298
SVM,Class0_Sensitivity,0.8731583333333333,0.02851152893624406,0.875,0.8166666666666667,0.925,0.875,-0.0018416666666667414
SVM,Class0_Specificity,0.9534495412844037,0.019951235165658426,0.9541284403669725,0.908256880733945,0.9908256880733946,0.9541284403669725,-0.0006788990825687957
SVM,Class1_AUC,0.9583367091772943,0.015331865894831744,0.9599899974993747,0.9245998999749938,0.9838740935233808,0.9588647161790447,-0.0005280070017503746
SVM,Class1_F1,0.7657056528596466,0.040889082946317885,0.7659574468085106,0.6808400965123931,0.84446735395189,0.7676767676767676,-0.001971114817120978
SVM,Class1_NPV,0.9707787896274126,0.012215899420681846,0.9712643678160919,0.9441340782122905,0.993976805425294,0.9710982658959537,-0.000319476268541119
SVM,Class1_PPV,0.6782449050397248,0.04840264333219487,0.6774193548387096,0.5901639344262295,0.782608695652174,0.6785714285714286,-0.0003265235317038151
SVM,Class1_Sensitivity,0.882,0.05057406123387835,0.8837209302325582,0.7674418604651163,0.9767441860465116,0.8837209302325582,-0.0017209302325581488
SVM,Class1_Specificity,0.9021236559139785,0.02040702033253597,0.9032258064516129,0.8602150537634409,0.9408602150537635,0.9032258064516129,-0.0011021505376344054
SVM,Class2_Sensitivity,0.9547878787878787,0.024685340255046897,0.9545454545454546,0.9090909090909091,1.0,0.9545454545454546,0.00024242424242415517
SVM,Class2_Specificity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
SVM,Kappa,0.8370188890412328,0.03048613819816561,0.8376386619360232,0.7755177061634604,0.8950472058419139,0.8388064269319051,-0.0017875378906723194
SVM,Macro_AUC,0.9788207269233385,0.00789923402117002,0.9796476273545703,0.9615234356937828,0.9921453356458381,0.9790961938900753,-0.0002754669667367482
SVM,Macro_F1,0.8846526742541149,0.02083427063651575,0.8846919018527941,0.8431863978180838,0.9257233994076098,0.8858214773280496,-0.0011688030739347433
SVM,Macro_Sensitivity,0.903315404040404,0.02137535370085551,0.9039552501761803,0.8563126908621094,0.9434196617336152,0.9044221282593377,-0.0011067242189336524
SVM,Macro_Specificity,0.9518577323994607,0.009676565010130873,0.9519252901910492,0.9319929466311533,0.9700601755943573,0.9524514156061952,-0.0005936832067344744
SVM,Weighted_F1,0.902940765912141,0.017956477616210102,0.9032817061210958,0.8673170339614653,0.9373713242590169,0.9041067016614635,-0.0011659357493224443
Softmax_LR,Accuracy,0.9035240174672489,0.018657383773004518,0.9039301310043668,0.8688864628820961,0.9388646288209607,0.9039301310043668,-0.00040611353711794695
Softmax_LR,Class0_Sensitivity,0.8492333333333334,0.03144635619212832,0.85,0.7833333333333333,0.9083333333333333,0.85,-0.0007666666666665822
Softmax_LR,Class0_Specificity,0.9632935779816514,0.017758268310989107,0.963302752293578,0.926605504587156,0.9908256880733946,0.963302752293578,-9.174311926596346e-06
Softmax_LR,Class1_AUC,0.9606104026006501,0.01611958724448378,0.9623655913978495,0.9248437109277318,0.9885002500625156,0.9607401850462616,-0.00012978244561145935
Softmax_LR,Class1_F1,0.7799207214670715,0.03813917436053991,0.780952380952381,0.7010051546391752,0.8515521864686468,0.78,-7.927853292855058e-05
Softmax_LR,Class1_NPV,0.9768343598370288,0.010999933426448083,0.9770114942528736,0.9540163444289416,0.9942204836887913,0.9767441860465116,9.017379051723395e-05
Softmax_LR,Class1_PPV,0.6856982217311564,0.0468443539834188,0.6842105263157895,0.6,0.78,0.6842105263157895,0.0014876954153668631
Softmax_LR,Class1_Sensitivity,0.906953488372093,0.04501514525343744,0.9069767441860465,0.813953488372093,0.9767441860465116,0.9069767441860465,-2.3255813953459992e-05
Softmax_LR,Class1_Specificity,0.902731182795699,0.020287971736856987,0.9032258064516129,0.8602150537634409,0.9408602150537635,0.9032258064516129,-0.0004946236559139061
Softmax_LR,Class2_Sensitivity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Softmax_LR,Class2_Specificity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Softmax_LR,Kappa,0.8464753520628331,0.02885218687240196,0.8476472722874078,0.7902548204243165,0.9012196028912562,0.84693443519475,-0.0004590831319168931
Softmax_LR,Macro_AUC,0.9790194206426225,0.008562490503267167,0.9799420038495863,0.9601055658601194,0.9938228407445898,0.9790897456780097,-7.032503538717538e-05
Softmax_LR,Macro_F1,0.8939613069141,0.01922442659234758,0.8953664799253035,0.8548301371830784,0.9302611515607444,0.8942182890855457,-0.00025698217144565216
