Bootstrap,Model,Metric,Value
4,Softmax_LR,Macro_Specificity,0.9590937489724113
4,Softmax_LR,Class0_Sensitivity,0.8666666666666667
4,Softmax_LR,Class0_Specificity,0.963302752293578
4,Softmax_LR,Class1_Sensitivity,0.9069767441860465
4,Softmax_LR,Class1_Specificity,0.9139784946236559
4,Softmax_LR,Class2_Sensitivity,1.0
4,Softmax_LR,Class2_Specificity,1.0
4,Softmax_LR,Class1_AUC,0.9636159039759941
4,Softmax_LR,Class1_F1,0.7959183673469388
4,Softmax_LR,Class1_PPV,0.7090909090909091
4,Softmax_LR,Class1_NPV,0.9770114942528736
4,SVM,Accuracy,0.9039301310043668
4,SVM,Kappa,0.8444581661006484
4,SVM,Macro_AUC,0.9807738249547097
4,SVM,Macro_F1,0.8875534188034188
4,SVM,Weighted_F1,0.9076531183518084
4,SVM,Macro_Sensitivity,0.8999530185576697
4,SVM,Macro_Specificity,0.9529775410213409
4,SVM,Class0_Sensitivity,0.9
4,SVM,Class0_Specificity,0.944954128440367
4,SVM,Class1_Sensitivity,0.8604651162790697
4,SVM,Class1_Specificity,0.9139784946236559
4,SVM,Class2_Sensitivity,0.9393939393939394
4,SVM,Class2_Specificity,1.0
4,SVM,Class1_AUC,0.9617404351087773
4,SVM,Class1_F1,0.7708333333333334
4,SVM,Class1_PPV,0.6981132075471698
4,SVM,Class1_NPV,0.9659090909090909
4,Decision_Tree,Accuracy,0.9213973799126638
4,Decision_Tree,Kappa,0.871147233510472
4,Decision_Tree,Macro_AUC,0.9612479381313218
4,Decision_Tree,Macro_F1,0.9066080977845683
4,Decision_Tree,Weighted_F1,0.9219603283949546
4,Decision_Tree,Macro_Sensitivity,0.9102067183462532
4,Decision_Tree,Macro_Specificity,0.9576140212423137
4,Decision_Tree,Class0_Sensitivity,0.9166666666666666
4,Decision_Tree,Class0_Specificity,0.926605504587156
4,Decision_Tree,Class1_Sensitivity,0.813953488372093
4,Decision_Tree,Class1_Specificity,0.946236559139785
4,Decision_Tree,Class2_Sensitivity,1.0
4,Decision_Tree,Class2_Specificity,1.0
4,Decision_Tree,Class1_AUC,0.9278569642410603
4,Decision_Tree,Class1_F1,0.7954545454545454
4,Decision_Tree,Class1_PPV,0.7777777777777778
4,Decision_Tree,Class1_NPV,0.9565217391304348
4,Random_Forest,Accuracy,0.9170305676855895
4,Random_Forest,Kappa,0.864315339757383
4,Random_Forest,Macro_AUC,0.9777515670966671
4,Random_Forest,Macro_F1,0.9021160258537587
4,Random_Forest,Weighted_F1,0.9179038059150401
4,Random_Forest,Macro_Sensitivity,0.9074289405684755
4,Random_Forest,Macro_Specificity,0.9558219065469732
4,Random_Forest,Class0_Sensitivity,0.9083333333333333
4,Random_Forest,Class0_Specificity,0.926605504587156
4,Random_Forest,Class1_Sensitivity,0.813953488372093
4,Random_Forest,Class1_Specificity,0.9408602150537635
4,Random_Forest,Class2_Sensitivity,1.0
4,Random_Forest,Class2_Specificity,1.0
4,Random_Forest,Class1_AUC,0.9561140285071268
4,Random_Forest,Class1_F1,0.7865168539325843
4,Random_Forest,Class1_PPV,0.7608695652173914
4,Random_Forest,Class1_NPV,0.9562841530054644
4,XGBoost,Accuracy,0.9213973799126638
4,XGBoost,Kappa,0.8717645594823296
4,XGBoost,Macro_AUC,0.9833440011378992
4,XGBoost,Macro_F1,0.907909604519774
4,XGBoost,Weighted_F1,0.9224779809044482
4,XGBoost,Macro_Sensitivity,0.9151808785529716
4,XGBoost,Macro_Specificity,0.9588800105225084
4,XGBoost,Class0_Sensitivity,0.9083333333333333
4,XGBoost,Class0_Specificity,0.9357798165137615
4,XGBoost,Class1_Sensitivity,0.8372093023255814
4,XGBoost,Class1_Specificity,0.9408602150537635
4,XGBoost,Class2_Sensitivity,1.0
4,XGBoost,Class2_Specificity,1.0
4,XGBoost,Class1_AUC,0.9689922480620156
4,XGBoost,Class1_F1,0.8
4,XGBoost,Class1_PPV,0.7659574468085106
4,XGBoost,Class1_NPV,0.9615384615384616
4,LightGBM,Accuracy,0.9170305676855895
4,LightGBM,Kappa,0.8629994647186624
4,LightGBM,Macro_AUC,0.9839484527095076
4,LightGBM,Macro_F1,0.8992108046538118
4,LightGBM,Weighted_F1,0.9167146479530768
4,LightGBM,Macro_Sensitivity,0.8974806201550388
4,LightGBM,Macro_Specificity,0.9532899279865839
4,LightGBM,Class0_Sensitivity,0.925
4,LightGBM,Class0_Specificity,0.908256880733945
4,LightGBM,Class1_Sensitivity,0.7674418604651163
4,LightGBM,Class1_Specificity,0.9516129032258065
4,LightGBM,Class2_Sensitivity,1.0
4,LightGBM,Class2_Specificity,1.0
4,LightGBM,Class1_AUC,0.9701175293823456
4,LightGBM,Class1_F1,0.7764705882352941
4,LightGBM,Class1_PPV,0.7857142857142857
4,LightGBM,Class1_NPV,0.946524064171123
4,MLP,Accuracy,0.9344978165938864
4,MLP,Kappa,0.8944019182882966
4,MLP,Macro_AUC,0.9781869205833568
4,MLP,Macro_F1,0.9257233994076098
4,MLP,Weighted_F1,0.9363245350374746
4,MLP,Macro_Sensitivity,0.9434108527131784
4,MLP,Macro_Specificity,0.9693203117293084
4,MLP,Class0_Sensitivity,0.9
4,MLP,Class0_Specificity,0.9724770642201835
4,MLP,Class1_Sensitivity,0.9302325581395349
4,MLP,Class1_Specificity,0.9354838709677419
4,MLP,Class2_Sensitivity,1.0
4,MLP,Class2_Specificity,1.0
4,MLP,Class1_AUC,0.9571142785696424
4,MLP,Class1_F1,0.8421052631578947
4,MLP,Class1_PPV,0.7692307692307693
4,MLP,Class1_NPV,0.9830508474576272
5,Softmax_LR,Accuracy,0.925764192139738
5,Softmax_LR,Kappa,0.8814447117580778
5,Softmax_LR,Macro_AUC,0.988137936624829
5,Softmax_LR,Macro_F1,0.9177976534804729
5,Softmax_LR,Weighted_F1,0.9285125653938535
5,Softmax_LR,Macro_Sensitivity,0.9428294573643411
5,Softmax_LR,Macro_Specificity,0.9670020716188222
5,Softmax_LR,Class0_Sensitivity,0.875
5,Softmax_LR,Class0_Specificity,0.981651376146789
5,Softmax_LR,Class1_Sensitivity,0.9534883720930233
5,Softmax_LR,Class1_Specificity,0.9193548387096774
5,Softmax_LR,Class2_Sensitivity,1.0
5,Softmax_LR,Class2_Specificity,1.0
5,Softmax_LR,Class1_AUC,0.9778694673668417
5,Softmax_LR,Class1_F1,0.8282828282828283
5,Softmax_LR,Class1_PPV,0.7321428571428571
